
                              中医辞释,一坨牛屎. 4598条

刦具 刦具 吉贝之讹。“吉贝”，棉花。
一纪 一纪 记年单位。《素问·天元纪大论》：“五六相合而七百二十气，为一纪，凡三十岁。”以一年有二十四节气算，故一纪相当于十三年。
一腊 一腊 初生七天内的小儿。宋代江浙民间风俗，生子七天为一腊，有一腊、二腊、三腊、满月等说法。腊，古写臘。腊、臘有别。
一逆 一逆 一次治疗差错。《伤寒论·辨太阳病脉证并治》：“若火熏之，一逆尚引日，再逆促命期”。
一舍 一舍 舍，星宿居住的窨位置。一舍，太阳、月亮运行一个星宿区间的路程。《灵枢·卫气行》：“是行一舍，夜行一舍。”
一时 一时 指一整天的时间。《灵枢·玉版》：“不及一时而死矣。”
一数 一数 ①古代的记时单位，刻漏的一百刻度，相当于今之二十四小时。《灵枢·五十营》：“所谓交通者，并行一数也。”②二十八脉在全身运行一周的总数。
一息 一息 ①一次呼吸。也指时间极短。②一口气息。指生命。
一阳 一阳 ①太阳，阳明，少阳，三阳经联合之称。见一阴条。②指少阳，少阳经的别称。
一阳来复 一阳来复 《易经》以坤卦为纯阴之卦，六爻都是阴，配阴历十月。坤卦为初爻(最下一爻)变为阳卦，就成为复卦，配十一月冬至，叫做“一阳来复”，取阴气极盛之后，阳气开始回复之意。
一阳生 一阳生 旧说谓冬至阳气初动。《易·复》：“七日来复”。孔颖达疏：“五月一阳生，十一月一阳生。”一，开始，初之意。也含有第一的意思。
一阳爻升，一阴爻降；一阳气下，一阴气上 一阳爻升，一阴爻降；一阳气下，一阴气上 爻：八卦的单位符号。阳爻是“—”，阴爻是“——”。就是八卦和时令的配合看，十月六爻都是阴，成为坤卦。阴极生阳，所以到了冬至以后(十一月)，阳气渐生，阴气渐降，在卦象上也是阳爻渐增、阴爻渐减。因此，十一月有卦象变为复象。四月六爻都属阳，成为乾卦，阳极而生阴，所以夏至以后(五月中)，阳气渐降，阴气渐增。因此，五的卦是垢象。总之，“一阳爻升，一阴爻降；一阳气下，一阴气上”是说明冬至和夏至为转节点，随着阳气和阴气的消长盛衰而每月以一“——”代替一“—”，或以一“—”代替一“——”。
一阴 一阴 ①太阴、厥阴、少阴三阴经联合之称。一，皆也，同也，齐也。②指厥阴，厥阴经的别称。
一元 一元 ①中国古代哲学家、医学家假想的宇宙开始形成时天地不分，浑然一体的状态。元气一调整即由此引伸而来。②古代术数家的说法。以四千六百一十七岁为“一元”。
一字 一字 古时的量度单位。占圆形带孔铜钱一个字粉剂数量。即一钱的四分之一。
医案 医案 即中医病案。
医醇賸义 医醇賸义 书名。清·费伯雄(晋卿)撰于1863年，4卷。原为24卷，名《医醇》，遭战乱焚毁后追忆而成4卷。以察脉、辨证、施治为三大纲，论述脉法、虚劳，外感、内伤等杂证。每述一证，先列自制方，后附成方，有不少经验所得和临证创新。
医灯续焰 医灯续焰 脉学专著，明·王绍隆传，清，潘楫注，初刊于1652年。潘氏为王氏的弟子。传、注的原本为《四言举要》，注文来源于《内经》、《难经》、《伤寒杂病论》、《脉经》，宋、元诸家学说和王绍隆的脉学见解。是一部比较详备的脉理书。
医方集解 医方集解 书名。清。汪昂(讱庵)撰成于1682年。是注释医方的专书。收正方300余首，加上附方，共约700首。将所辑之方剂分为2l门，逐方进行药性分析解释，并对方药的配伍、药性、主治均参合各家学说加以阐明。有多种近代刊本。本书影响很大，后世解释方剂的著作，多由此衍化而来。
医方考 医方考 书名。明·吴昆撰，6卷。以病为纲，分为20门，集方700多个。汪昂之《医方集解》多源于此。
医方类聚 医方类聚 书名。朝鲜·金礼蒙撰于1443年。初刊于1465年。原为365卷，今存266卷。是一部大型的医学类书。分类整理了中、朝古代医学著作150余种。内容包括医学总论、脏象、诊法、各科证治、急救、养生等内容。资料丰富，分类较细。因其多辑录原文，所以保存了不少明以前的失传医书，有较高的研究参考价值。
医竘 医竘 春秋时秦国的外科医生。据《尸子》记载，他曾为张子治过背病，为宣王割过痤，为惠王割过痔，皆愈。大约生活于公元前4～5世纪。
医贯 医贯 书名。明·赵献可(养葵)撰。6卷。刊于1687年。分为玄元肤论、主客辨疑、绛雪丹书、后天要论等五门。每门之下，又分若干细目。主要是对中医理论方面的阐述。在学术思想上推崇薛己，强调“命门之火”的作用，认为它是人生之本。全书以保养“命门之火”的理论原则指导养生、治病等一切临床实践过程，喜用六味地黄丸、八味地黄丸通治多种疾病。因而多有其过偏之处。徐大椿曾专撰《医贯贬》一书评讥之。
医和 医和 春秋时秦国名医。约生活于公元前六世纪，《左传·昭公元年》上说他在给晋侯治病时提出了六气(阴、阳、风、雨、晦、明)异常致病的理论。是唯物主义病因学说的最早记录．
医话 医话 古代医生用笔记、短文等形式写的临证体会、研究心得、传闻经验，以及有关医药问题的见解、考证、讨论等，多无固定的体例和内容，如《冷庐医话》等。
医缓 医缓 春秋时秦国名医，为我国最早发现冠心病的医生。《左传成公十年》(纪元前581年)：“晋景公疾病，求医于秦；秦伯使医缓为之。未至，公梦疾为二竖子。曰：：彼良医也；惧伤我，焉逃之?’其一曰：居盲之上，膏之下，若我何!’医至，曰：‘疾不可为也。在肓之上，膏之下；攻之不可，达之不及，药不至焉，不可为也，公曰：‘良医也’，厚为之礼而归之．”后世的“病人膏盲”即由此而来．类似今之冠心病也。
医经溯洄集 医经溯洄集 书名。元·王履著于1368年。内容包括《内经》、《伤寒论》的研究、温病与伤寒的辨析、李东垣学说的探讨等有关论文23篇。其中对温病的研究，有相当参考价值。今有影印本问世。
医经原旨 医经原旨 书名。清·薛雪撰于1754年，6卷。作者认为《素问》、《灵枢》二书“文多败阙”，“既非圣贤传，何妨割裂”。乃将《内经》原有顺序打乱，重为删述。其聚文注释虽广采各家，但以张景岳者居多。共分摄生、阴阳、脏象、脉色、经络、标本、气蛛、论治和疾病各类。内容比较简明。
医垒元戎 医垒元戎 书名。元，王好古(进之)初撰于1291年，重订于·1297年。12卷。以十二经为纲，先论伤寒，次及杂证。在学说上尊崇张仲景，也旁及张元素、李东垣诸人的理论，也采用《和剂局方》的内容，不少地方结合了自己的临床经验和学术见解，可供临床参考。
医林 医林 即医界。
医林改错 医林改错 书名；清·王清任(勋臣)撰于1830年。作者在实地观察尸体中发现，古人关于人体解剖的记述：许多方面是错误的，重新作了叙述和绘图说明，在中医解剖学的发展上，有不可磨灭的贡献。在活血化瘀的理论和实践上都有创新，所设计的方剂至今仍被沿用。今有多种排印本存世。
医林集要 医林集要 书名。明·王玺著，10卷；论述诸证时先论病源，次及治法、：针法，·方药。并取《道藏》所载养生方、导引法等附于后。
医林绳墨 医林绳墨 书名。明·方隅编集，方谷校正，8卷。刊于1584年，以医论为主论述内科杂证，兼及妇、外、五官、口舌诸科，辨证求因，随证处方。医论多本仲景、《内经》，也涉及金元诸家，并能提出自己的学术见解。流传较广。今有排印本。
医林指月 医林指月 书名。清·王琦辑。刊于1767年。集《医学真传》、《达生篇》、《伤寒金镜录》、《医家心法》；《扁鹊心书》、《本草崇原》、《侣仙堂类辨》等12篇医学著作于其中。
医门棒喝 医门棒喝 书名。清·章楠(虚谷)撰成于1825年，4卷。本书是宗法叶天士《临证指南》而写的，但体例多防徐大椿。为杂论性质的医书。共有论文30余篇，旨在“阐明医理，评论诸家之流弊，以警劝世”。故题名为《医门棒喝》。其中温、暑部分及批判张景岳之篇，比较有见解。在温病的辨证和治疗上有所发挥。至于章氏本人的临床经验，则多见于叶氏《温病论治》及薛氏《温热病篇》的注释中。
医门补要 医门补要 书名。清·赵濂撰于1883年。3卷。上、中二卷沦述内，外科各种疾病，下卷是经验记录。本书以重视外科杂证的手术疗法、外治法和民间效方为其特点．
医门法律 医门法律 书名。清·俞昌(嘉言)撰于1658年，6卷。本书以风、寒、暑、湿、燥、火、六气和杂证为纲，分类论述各类疾病的证治。每门先冠以论。次为法，次为律。所谓法，是指治疗方法和它的适应症或时机；所谓律，是指医生常犯的医疗错误。
医师 医师 周代的官名。管理医药卫生行政。
医述 医述 书名。清·程文囿辑，16卷。刊于1826年。系作者的医书札记分编而成。主要内容有医史、伤寒、杂证、女科、幼科、痘疹、方药几个方面。引录资料较多，条理清晰，并有出处。
医说 医说 书名。宋·张杲撰。刊于1224年。采集各种文史著作中有关医学典故、传说等史料，分编为医家、医书、本草、针灸、诊法、病证、养生、修养、凋摄等共49类，对医学研宄有一定参考价值。
医心方 医心方 书名。日本·丹波康赖撰于982年，30卷。内容主要包括医学理论和各科临床，是辑录多种中医古籍而成；书中引文多注出处，也有作者自己的评论。是研究唐以前医学的重要参考书。现有影印本存世。
医学纲目 医学纲目 书名。明·楼英撰，40卷，刊于1565年。采集《内经》以来的医学文献和个人经验、见解，分部编写而成。卷首为运气占侯。1—9卷为“阴阳脏腑部”，带有概论性质，分述诊法、治法、寒热、劳瘵、久疟等的证治和针灸、调摄等内容。10—29卷，以内科杂病证治为主，兼及外科；五官等病。30～33卷以伤寒为主，兼及温病、暑病和温疫。34～39卷为妇、儿科疾病。40卷专述运气。其特点是每论一证，先引证历代有关论述；治法上区分正门和支门，取各
医学六要 医学六要 书名。明·张三锡(叔承，嗣泉)撰。包括《四诊法》1卷，《经络考》1卷，《病机部》2卷，《本草选》6卷，《治法汇》8卷，《运气略》1卷。自谓博采群书，各汇其要。但多较杂乱而无主见。
医学启源 医学启源 书名。金·张元素(洁古)著。采辑《素问》五运六气、《内经》治要和《本草》药性而成。强调五运六气在于说明季节气候不同，治病用药也应不同。在药学理论上，有不少发挥。成为中医基本理论的一部分。
医学入门 医学入门 书名．明·李梃撰。刊于1575年，9卷。内容有脏腑图、明以前医家简介、经络、脏腑、诊断、针灸、本草、外感、杂病、妇幼、外科、用药赋、古方歌括、急救、怪病、治法、习医规格等。条分缕晰，由浅入深，是一本较有影响的初级医学读物。
医学三字经 医学三字经 书名。清陈念祖(修园)撰于1804年。全书仿《三字经》体例，概要地将医学内容，按三字一句编写成文。概述医学源流、基本理论和常、见病的证治。简明扼要，通俗易懂：为流传较广的医学启蒙读物。
医学新悟 医学新悟 书名。清·程国彭(钟龄)撰，5卷。前一部分是关于理论及治疗的阐述。后一部分是对常见疾病证治的介绍。简要明了，切合实用为其特点．
医学心悟 医学心悟 书名。清·程国彭撰于1732年，·5卷。首卷总述四诊八纲，治疗八法的理论．卷二论述《伤寒论》。其余三卷分述内、外、妇产、五官等科主病的辨证论治。各证的记述顺序为病源、病状、诊断和治法。分类清楚，论述简要，切合实用。是一本影响较大的初级医学读物。今有影印本存世。
医学原理 医学原理 书名。①明·汪机(省之，石山居士)撰．13卷。②明·江时途撰。30卷。
医学源流论 医学源流论 书名。清·徐大椿(灵胎，洄溪)撰于1764年。2卷。分经络、脏腑、脉、病、药、治法、书论、古今七门。又分子目93条。收集论文99篇，持论多精确有据。
医学正传 医学正传 书名。明·虞搏(天民)撰于1515年。8卷。书前首列“或问”五十一条，阐明前人理论上不到之处。然后分门论证各科疾病。次序是：论证、脉法、方治。以朱丹溪的学说为基调，伺杂以历代各家之言。但对于疾病的总论则以《内经》为纲．要，脉法采《脉经》。其中也有不少家传和个人的经验和见解。今有排印本存世．
医学衷中参西录 医学衷中参西录 书名。又名《衷中参西录》。张锡纯(寿甫)撰。1918—1934年间，先后印成，共7。期；·前三期自撰；后四期为其子女及门人编成、合含30卷，分35卷。每类以方为目，随方附论。其讨论包括生理、病理、方药、问辨、医案等，并附以当时西医的理论和治法。所载方剂，多数为作者自拟，简要适用，为一般医生所喜用。’作者是中西医学汇通派主将之一，因而书中也力图沟通中西医学。由于历史条件所限，也有不少不妥之处。今流行本为河北新医大学1974年修订本，共2册。
医要集览 医要集览 丛书名。共6种。《脉赋、脉诀、真刘三点脉诀》(原题晋·王叔和等撰)、《用药歌诀》(不著撰人)、《药性赋珍珠囊》、《伤寒活人指掌提纲》(元·吴恕撰)、《诸病论》(不著撰人)、《难经》。
医旨绪余 医旨绪余 书名。明·孙一奎(文垣，东宿)撰，2卷，收议论70篇，多属对中医基本理论的阐述，有，定的创见，对张仲景以下历代名医家也多有所评论；又证丹溪“相火属右肾”之非，驳《三因方》三焦有形为脂肪之谬，有其特色，
医宗必读 医宗必读 书名。明·李中梓(士材，念莪)撰于1637年。10卷。有医理、脉法、本草、各种病证及医案等部分。内容简要，切合实用，有排印本存世。
医宗己任编 医宗己任编 书名。清·杨乘六辑，王汝谦补注。成书于1725年。为一种关于清代医学著作辑评的丛书。计4种：高鼓峰《四明心法》、《四明医案》，吕用晦《东庄医案》，董废翁《西塘感症》。三人均属薛己、赵献可学派。今有排印本问世。
医宗金鉴 医宗金鉴 书名。清·吴谦(六吉)等撰，刊于1742年，90卷。其中包括《订正伤寒论注017卷，《订正金匮要略注》8卷，《删补名医方论》8卷，《四诊要诀》1卷，(<运气要决》I卷，《伤寒心法要诀》3卷，《杂病心法要诀》3卷，《妇科心法要诀》6卷，《幼科心法要诀》6卷，《痘疹心法要诀》4卷，《种痘心法要旨》1卷，《外科心法要诀016卷，《眼科心法要诀》2卷，《刺灸心法要诀》8卷，《正骨心法要旨》4卷。每类以下又分子目。都有图、有说、有方、有论和歌诀。是我国综合性医书中最为完备和简要的一种。
医碥 医碥 书名。清·何梦瑶撰。刊于1751年。主要论述杂证。共7卷。在立论上多遵循张仲景、刘河间、李东垣、朱丹溪之说杂而合之，但有许多个人见解，说理也晓畅易懂，是一本理论和临床相结合的桥梁书。
伊尹 伊尹 初为商汤的厨师，后任宰相．为传说中创制汤液的人。
衣常濡 衣常濡 衣服被汗所湿。常，通“裳”。
乙 乙 天干的第二位，因以为第二的代称。
乙癸同源 乙癸同源 即肝肾同源。根据五行学说，中医把脏腑和天干相配合，认为乙属木、属肝；癸属水、属肾。
以毒攻毒 以毒攻毒 使用有毒的药物治疗恶毒病证的方法。这种方法应用较广。如大枫子辛热有毒，用以治麻风、疥癣；斑蝥辛寒有毒，用以治岩疮、瘰疬、狂犬咬伤；木鳖子苦微甘有毒，用治恶疮瘰疬；轻粉用于治疗梅毒等，都是取以毒攻毒。
以母为基，以父为楯 以母为基，以父为楯 即身体的基础来自母亲，抗病能力来自父亲。马莳：“方其始生，赖母以为之基；赖父以为之楯，阳气以为捍卫也。”楯，音义均同“盾”。
以气命其藏 以气命其藏 即气候的运行与脏器的功能相适应。是一种取类比象的说法。
以痛为输 以痛为输 针灸术语。出《灵枢＝经筋》。以病痛部位或压痛点作穴位治病。即阿是穴。
易而勿及 易而勿及 说着容易，做着难。张景岳“言之虽易，而实无能及者。”
易筋经 易筋经 外功功种之一。共分十六个动作。有强壮筋骨，调和气血的作用。
役冒非理 役冒非理 养生不善，感受六淫过度。
异病同治 异病同治 即不同的病用相同的疗法。由于“辨证”和“辨病”的不同，在不同的病中，可以出现同一种证。按照辨证论治的原则，可以用同一种方法治疗。如心脏功能不全性水肿、肾病性水肿、肝病性水肿，虽然病不相同，但证可都属阳虚水肿，均可用温阳、化气、利水的方法进行治疗。
异气 异气 即疫疠之气。
因变以正名 因变以正名 指万物只所以有不同的名称，是因为它们有差异。
因地制宜 因地制宜 按照地区环境的特点选择适宜的治疗方法。如我国北方，地高气寒，病多风寒。治疗以温热药为主，慎用寒凉药：南方地势低洼，气候潮湿温暖，病多温热、湿热，治疗以清凉、化湿药为主，慎用温热助湿药。
因其轻而扬之 因其轻而扬之 语出《素问·阴阳应象大论》。轻病轻而在表；扬，向外散发。即病在表浅的轻证，可以用向外散发的解表法从汗解除。
因其衰而彰之 因其衰而彰之 语出《素问·阴阳应象大论》。衰，气血衰；彰；扶助正气。指气血衰弱的疾病，可以用补益的方法，扶助气血恢复。如脾气虚出现少食，倦怠，大便溏，面黄，脉细，苔白等、当用益气健脾的参苓白术散治疗等。
因其重而减之 因其重而减之 语出《素问·阴阳应象大论》。重，病结聚在里；减，泻下、攻削。指结聚在里的疾病，如宿食、停饮、瘀血等，当用泻下、逐水、破瘀等方法治疗。
因人制宜 因人制宜 即根据病人年龄、性别、体质的不同，而选择适宜的治疗方法。小儿脏腑娇嫩，气血未充；老年人生机衰减，气血亏乏；男女生理不同，体质也有强弱之分，治疗用药均须区别对待。即便是同一年龄组和同一性别的人，治疗用药也应根据职业情况、精神状态、生活习惯、饮食嗜好的不同，而有所区别．
因时制宜 因时制宜 按照四时气候的变化，采用适宜的治法。四时气候对人体生理病理有一定的影响，反常的气候更是致病的重要因素。治病时，要考虑到这些条件。如果夏季人易出汗，冬季不易出汗，同是风寒感冒，夏季就不宜多用辛温药，以免出汗过多损伤津气；冬季就可以多用辛温药，使邪从汗解。
因息游布 因息游布 借体内气息的流通，把精华之物输布于全身。
阴 阴 阳的对立面，与阳共同组成阴阳，以抽象的概念表现万物和人体的生理和病理变化。参见阴阳条。
阴痓 阴痓 见《类证活人书》．即阴痉。
阴痜瘸 阴痜瘸 子宫脱垂，病阓癀之别名。
阴斑 阴斑 斑的一种。见《丹溪心法·斑疹》。多由体虚内有伏寒，或误进寒凉，阴寒内盛，逼其无根之火浮散于外引起。表现为斑色淡红，隐而不显，或仅胸部微见数点，伴见手足逆冷，口不甚渴，下利清谷，舌苔白滑或舌胖苔黑而滑，脉虚大沉微等症。
阴包毒 阴包毒 即大腿痈。
阴闭 阴闭 闭证中兼有寒象者。症状有面白唇暗，静卧不烦，四肢不温，痰涎壅盛，舌苔白腻，脉象沉滑而缓等。治宜辛温开窍。
阴病 阴病 ①六经病中的三阴经病，即太阴、厥阴、少阴经病。②八纲辨证中的里、虚、’寒证。总之，凡临床表现为喜热恶寒，静而少言，声低气微，尿清便溏，蜷卧肢冷，腹痛喜按，以及脉沉、细、迟、弱，舌淡少华，苔滑白等一派虚寒证候者，都属于阴病。
阴病治阳 阴病治阳 出《素问·阴阳应象大论》。是阴阳学说在治疗上运用的方法之一。①指阴寒盛损伤了阳气，治疗宜采用扶阳的办法。②疾病的症状在阴经，治疗可采用针刺阳经穴位的办法。
阴不抱阳 阴不抱阳 即阳失去了阴，不能固守而出现的病理上的“阴虚阳亢”或“阴盛格阳”的现象。
阴疮 阴疮 即阴蚀。
阴吹 阴吹 病名。出《金匮要略·妇人杂病脉证并洽》。妇女阴道中有气排出，并带有声响的一种病证．
阴刺 阴刺 古刺法。十二刺之一．阴刺指刺阴经穴位。刺法是左右并刺。用以治疗“寒厥”。《灵枢．官针》：“阴刺者，左右率刺之，以治寒厥，中寒厥，足踝后少阴也。”
阴毒 阴毒 多指无热象的炎症，脓疡。
阴股 阴股 即腹股沟部。
阴寒 阴寒 证名．出《金匮要略·妇人妊娠病脉证》。①指妇女小腹部、阴部的寒冷感，往往影响生育．②指男性生殖器的寒冷感．
阴寒凝结 阴寒凝结 阳气衰弱，寒邪留滞，出现的寒证的病机。表现为面色苍白，四肢不温，喜暖恶寒，腹痛便结，月经不调或局部拘挛疼痛等。又如寒痹久治不愈或外科阴疽等，也属于阴寒凝结的范畴。
阴汗 阴汗 ①证名。见《兰室秘藏·阴痿阴汗门》。指外生殖器、阴囊、大腿内侧出汗较多的症状，以及阴部因汗液过多而引起的湿疹。如大腿、阴囊湿疹、癣等。渗水多、奇痒，气味腥臭。多为湿热引起，夏季多见。②病证名。见《景岳全书·杂证谟》．亦称冷汗。是阳衰阴盛所致。
阴户 阴户 阴道外口。
阴黄 阴黄 病证名。①与阳黄相对而言的一种黄疸。以皮肤、巩膜黄染色泽晦暗为特点。发病较慢，多无热或低热伯冷，不思饮食，尤厌油腻，疲倦无力，大便溏，小便淡黄、舌质淡、苔白滑，脉弦缓或沉迟。②黄疸二十八侯之一。⑧三十六黄之一。
阴火 阴火 指饮食劳倦、喜怒忧思所生之火，属心火。
阴竭阳脱 阴竭阳脱 出《灵枢·终始》。指属阳的生命活力随属阴的生命物质基础的枯竭而消失。
阴结 阴结 ①证名。见《兰室秘藏》。《医学心悟》：“冷闭者，唇淡口和，舌苔白，小便清，喜热恶寒，此名阴结。”②体虚液亏病人出现的便秘。⑧脉象名。《注解伤寒论·辨脉法第一》：“脉累累，如循长竿者，此名阴结也。”
阴筋 阴筋 ①睾丸系带。②推拿六筋穴位之一。又称白筋。
阴痉 阴痉 见《丹溪心法》。即柔痉。指痉病而伴有虚寒之象者。
阴疽 阴疽 ①疽之属于阴寒证者。②生于会阴部的炎症和溃疡。
阴冷　 阴冷　 见《金匮要略，血痹虚劳病脉证并治》。即阴寒。
阴卵 阴卵 即睾丸。
阴络 阴络 ①指从手、足三阴经分出的络脉。②循行于人体深部和下行的络脉。《灵枢·百病始生》：“阴络伤则血内溢，血内溢则后血(便血)”。
阴络伤则血内溢 阴络伤则血内溢 指下部的、属里的络脉受损，则可引起便血。《灵枢·百病始生》：“阴络伤则血内溢，血内溢则后血”。
阴脉 阴脉 ①即阴经之脉。包括手、足三阴经；八脉中的任脉、冲脉、阴维脉、阴跷脉等。②切诊中的沉、涩、虚，短、微、缓、革、濡、弱、散、细、伏、结、代、小等脉象属阴脉；牢脉属阴脉中之阳脉。
阴平阳秘 阴平阳秘 即阴阳协调，人体生理功能正常。
阴器 阴器 指外生殖器。
阴气 阴气 ①与阳气相对，泛指事物的对立统一面的阴面。②同阴器，即外生殖器。
阴窍 阴窍 通常指尿道口和肛门。
阴热 阴热 指阴虚发热。多见于气阴耗伤的慢性消耗性疾病和急性湿热病后期或恢复期。为低热。常伴有舌红、无苔、脉细数等症。
阴生于阳 阴生于阳 即阴的存在以阳的存在为前提。
阴盛 阴盛 即阴寒过盛。指体弱的人受寒后出现的腹泻，肢冷现象。
阴盛格阳 阴盛格阳 简称格阳。指体内阴寒过盛，阳气被拒于外，出现内有真寒而外显假热的证侯。
阴盛阳虚 阴盛阳虚 指阴寒内盛，导致阳气虚衰的病理过程。
阴胜则寒 阴胜则寒 出《素问·阴阳应象大论》。指阴气偏胜，阳气偏衰，则出现寒证。
阴虱疮 阴虱疮 病名。出《外科正宗》。指阴虱寄生于阴毛所引起的皮肤病。初起为红色或淡红色的丘疹，奇痒，搔破感染成疮，中含紫点。
阴蚀 阴蚀 病名。出《神农本草经》。又名阴疮、阴蜃、矗、匿疮等。即外阴部脓肿、溃疡。
阴暑 阴暑 伤暑的一种。为暑天受寒或食生冷引起。表现为发热头痛，无汗恶寒，肢体酸痛等证．
阴水 阴水 水肿按阴阳分类的一种。出《丹溪心法·水肿》。多为脾肾阳虚，不能运化才湿而成。表现为水肿伴有全身功能衰退或衰竭的症状：如下肢先肿，面色苍白，畏寒吱冷，口淡、．便溏，小便短少等。
阴损及阳 阴损及阳 ①指阴的亏损造成了阳的不足。⑧指阴寒过盛而造成阳的伤害。即阴盛阳虚。
阴缩 阴缩 证名。出《灵枢·邪气藏府病形》等篇。指前阴内缩。多因寒入厥阴或阳明热邪陷入厥阴所致。包括男子阴茎、阴囊和妇女阴道的内缩．
阴头痈 阴头痈 病名。见清·许克昌《外科证治全书》。又名龟头痈。即男性生殖器龟头部的炎症，表现为龟头紫肿疼痛。
阴脱 阴脱 病名。出《千金要方》．①即阴挺，类似子宫脱垂。②指阴道开而不闭。多因妇人分娩损伤胞络或举重、房劳所致。
阴维脉 阴维脉 奇经八脉之一。见《素问·刺腰痛论》。它的循行路线是：起于小腿内侧足少阴肾经的筑宾穴，沿下肢内侧上行，到腹部与足太阴脾经同行到胁部，与足厥阴相合，然后上咽喉，与任脉合于天突、廉泉，至顶前而终。阴维脉的病侯，主要表现为胸痛、心痛、胃痛等症状。
阴犀 阴犀 即阴蚀．
阴下脱 阴下脱 即阴脱．
阴邪 阴邪 ①六淫中的寒、湿二邪。②侵犯阴经的邪气。
阴虚 阴虚 指阴液不足。多表现为阳亢热盛，或潮热、手足心热、唇红口干、烦躁易激动、小便黄赤而少、大便干燥、舌质红嫩无苔、脉细数等津血亏损的证候。多见于结核病人，可能与植物神经功能紊乱有关。
阴虚喘 阴虚喘 见《医学入门·痰类》。指阴虚阳浮而致的气喘。表现为气喘发作时有气从脐下上冲，可伴有潮热盗汗等。
阴虚盗汗 阴虚盗汗 证名．见《赤水玄珠·汗门》。由于阴虚火旺，心汗外溢所致。主要表现为盗汗，烦热，口干，脉细数等。
阴虚肺燥 阴虚肺燥 指阴虚液耗，虚火伤肺引起的病变。主要表现为干咳无痰或痰中带血．、咽痛嘶哑，舌嫩红、苔少，脉细数等．
阴虚喉痹 阴虚喉痹 病名。见《景岳全书》。多由肝肾阴虚，或燥伤肺胃之阴，使咽部失于濡养所致。主要表现为咽干不适，唇燥，干咳无痰。
阴虚喉癣 阴虚喉癣 病名。喉癣之由于调虚者。见喉癣条。
阴虚火旺 阴虚火旺 指阴精亏损而招致的虚火亢盛。主要表现为烦躁易怒、两颧潮红、口干咽痛、性欲亢进等。
阴虚头痛 阴虚头痛 头痛病证的一种．见《景岳全书·卷二十六》。指由阴虚火动所致的头痛。主要表现为头痛而兼心烦内热、面红升火、失眠舌红、脉弦细数等阴虚证候。阴虚发热见《丹溪心法》。指精血津液等损耗所致的虚热。多见于结核等各种慢性疾病。主要表现为午后潮热，骨蒸，或五心烦热，伴见消瘦，盗汗，口干，舌红，脉细数等。
阴虚阳浮 阴虚阳浮 真阴不足，津血亏损而致阳气浮越于上的病机。主要表现为头目眩晕、面色潮红、目赤、咽干、喉痛、牙痛等。
阴虚阳亢 阴虚阳亢 由于精血津液等属于阴性的物质亏虚，使阳失去制约上亢引起的阴阳失调。临床上表现为潮热、颧红、盗汗、五心烦热、咳血、消瘦或失眠、烦躁易怒，或遗精、性欲亢进、舌红而干、脉细数等。
阴虚则内热 阴虚则内热 出《素问·调经沦》。指因精血津液亏耗过度而引起的内热证。主要表现为潮热、夜热或五心烦热，多兼有盗汗、口干舌红、脉细数等。
阴虚痿 阴虚痿 痿证之一。见《证治汇补·卷七》，多由于久病或房室不节，肝肾不足，阴虚火旺，伤及筋骨所致。主要表现为腿膝痿软，行步艰难，不能久站，自觉有热气从两足上升，伴有头昏目眩，脉细数等。
阴癣 阴癣 病名，见清·邹存淦《外治寿世方》；多由湿热之邪侵于肌表引起。初起为丘疹或小水泡，渐向周围扩大而成红斑、边缘清楚，上有薄屑，极痒。类似阴部霉菌感染引起的皮癣。
阴眼 阴眼 男子生殖器外口．
阴阳 阴阳 我国古代哲学思想，具有朴素唯物主义和自然辨证观点。认为自然界一切事物都包含着阴阳两个方面，它们互相对立又相互连系；相互依存又相互制约。正是由于阴阳两方面的运动，才推动着事物的变化，促进着事物的发展。所以说阴阳学说是我国古代医学的指导思想——“阴阳者，天地之道也”。它贯串于解剖、生理、病理、诊断、防治等整个医学领域。①解剖方面：用阴阳归纳人体部位和脏器属性。如上部属阳，下部属阴；体表属阳，体内属阴；背部属阳，腹部属阴；六腑属阳，五脏属阴等。②生理方面：用阴阳平衡的关系说明人体内外环境的稳定统一，阴阳平衡，气血调和。《素问‘生气通天论》：“阴平阳秘，精神乃治。”⑧病理方面：阴阳失去平衡，使一方偏盛偏衰是疾病发生的根本原因。尽管疾病错综复杂，千变万化，都不外乎是“阴阳失调”的结果。《素问·阴阳应象大论》：“阳胜则热，阴胜则寒”。④诊断方面：以阴阳为总纲通过分析综合来概括四诊中所得来的感性认识，作出诊断。《素问·阴阳应象大论》：“察色按脉，先别阴阳”。⑤治疗方面：用药味阴阳属性的不同，纠正机体偏胜偏衰，—补其不足，泻其有余，调整阴阳，使之平衡。《素问·至真要大论》：“寒则热之，热则寒之”。阴阳学说对我国医学有着重大影响，既是基础理论的重要组成部分，又是指导临床辨证和治疗的手段。但是，由于历史条件的限制，这些辨证法的内涵仍然是朴素的。因此，对于阴阳学说必须以辨证唯物主义为指导，以现代科学为基础，在实践中整理提高。
阴阳毒 阴阳毒 出《金匮要略》。是一种疫毒内蕴咽喉，侵入血分的重证。又有阴毒和阳毒之分。阳毒者，因热壅上焦，以面赤咽痛，吐脓血为主症；阴毒者，因毒邪痹阻经脉，以面青、身痛、咽痛为主症。
