
                              中医辞释,一坨牛屎. 4598条

刦具 刦具 吉贝之讹。“吉贝”，棉花。
半表半里证 半表半里证 ①指《伤寒论》中的少阳病。病位在半表半里之意。即邪已离太阳经之表而尚未入阳明经之里，表现为寒热往来，胸胁苦满，不欲饮食，心烦喜呕等症。②指温病邪伏募原的证候。表现为先恶寒、后壮热，头身痛，脉数，舌红，苔白厚如积粉等。如疟疾、败血症及其它一些有间歇热、消耗热的疾病，都可以表现出类似的综合证候。
半产 半产 即小产，流产。
半产下血不止 半产下血不止 即流产造成的出血不止。
半刺 半刺 “五刺”之一。半，形容浅。半刺是浅刺皮肤，迅速拔针，不使针伤肌肉，好象拔去毫毛一样，用以疏泄在皮毛的邪气。这是相应肺脏的针刺法。
半身不随 半身不随 即半身不遂。
半身不遂 半身不遂 又称“偏瘫”、“偏枯”。指一侧或半身肢体瘫痪或运动失灵，有的可逐渐恢复，长期存在者，可引起患肢的萎缩。
半身出汗 半身出汗 证名。出汗睅，只在单侧或半身见汗的一种疾病现象。多与偏瘫、截瘫或经络郁阴有关。
半身麻木 半身麻木 指身体半部皮肤，肌肉麻木的症状。
半卧 半卧 卧功姿势的一种。一般条件用其它卧功。另外，床上置靠背架，或用棉被折叠代替靠背架。姿势介于平坐与仰卧之意，两腰关节屈曲呈90度，两脚掌平踏于床上，两手呈俯掌，左右交叠，置于脐部，半卧式适用于心脏病、喘息病的患者，或练功时不能采取平坐和卧式的情况。
半肢风 半肢风 泛指偏瘫或截瘫。
包诚 包诚 字兴言，清代泾县人，少年时曾到山东向张琦学医，著有《伤寒审证表》。包氏和沈自南都主张每经按表里、阴阳、虚实、标本分证整理《伤寒论》。因而属于医学思想史上的一个流派。
包煎 包煎 有些药物带细毛，如旋复花、枇杷叶，混入药汁内刺激咽喉消化道；有些药物呈细粒状，如车前子、葶苈子、赤石脂等，混入药汁内，易使药液混浊难服，且煎时易使罐底焦糊，故在煎前先将药用砂布包好，再放入锅内和其它药同煎。
抱轮红 抱轮红 出自《原机启微》。又称乌轮赤云。即球结膜上沿角膜周围呈放射状的小血管充血。多由肝肺实热或阴虚火旺引起。多见于角膜、虹膜、睫状体等炎症。
抱头火丹 抱头火丹 发生于头面部的丹毒。
抱膝 抱膝 古时用以固定髌骨骨折的工具。多用竹制成。用竹片弯曲成圈，大小以能套住髌骨为度。上系绳子四条。膝盖骨折整复后，将竹圈套上，将绳缠绕腿上，将膝盖加以固定。
抱一 抱一 气功术语。见《道德经》。水的生数属一。肾为水脏，藏先天之精，又称肾水。故“抱一”的含义即内颐丹田，守护先天真一之精气，不使走失。
报标 报标 即报点。
